"filedate","tractid","countyfp10","totalfilings"
"01/01/2020","13121000500","121",1
"01/01/2020","13121001700","121",3
"01/01/2020","13121002800","121",1
"01/01/2020","13121003500","121",2
"01/01/2020","13121004400","121",4
"01/01/2020","13121007002","121",1
"01/01/2020","13121007400","121",1
"01/01/2020","13121007602","121",6
"01/01/2020","13121007603","121",1
"01/01/2020","13121007703","121",14
"01/01/2020","13121008902","121",4
"01/01/2020","13121009403","121",2
"01/01/2020","13121010301","121",1
"01/01/2020","13121010400","121",2
"01/01/2020","13121010512","121",3
"01/01/2020","13121010515","121",1
"01/01/2020","13121011303","121",5
"01/01/2020","13121011306","121",1
"01/01/2020","13121011405","121",1
"01/02/2020","13121001100","121",1
"01/02/2020","13121001201","121",1
"01/02/2020","13121001202","121",1
"01/02/2020","13121002400","121",1
"01/02/2020","13121002800","121",2
"01/02/2020","13121003900","121",2
"01/02/2020","13121006200","121",1
"01/02/2020","13121006400","121",1
"01/02/2020","13121006601","121",1
"01/02/2020","13121006602","121",1
"01/02/2020","13121006700","121",1
"01/02/2020","13121006900","121",1
"01/02/2020","13121007300","121",2
"01/02/2020","13121007400","121",1
"01/02/2020","13121007603","121",2
"01/02/2020","13121007802","121",1
"01/02/2020","13121007806","121",1
"01/02/2020","13121007808","121",10
"01/02/2020","13121008202","121",1
"01/02/2020","13121008400","121",2
"01/02/2020","13121008904","121",1
"01/02/2020","13121009000","121",3
"01/02/2020","13121009403","121",1
"01/02/2020","13121010114","121",3
"01/02/2020","13121010121","121",1
"01/02/2020","13121010301","121",1
"01/02/2020","13121010304","121",1
"01/02/2020","13121010400","121",1
"01/02/2020","13121010507","121",1
"01/02/2020","13121010510","121",1
"01/02/2020","13121010511","121",2
"01/02/2020","13121010512","121",1
"01/02/2020","13121011201","121",1
"01/02/2020","13121011301","121",1
"01/02/2020","13121011303","121",2
"01/02/2020","13121011420","121",1
"01/02/2020","13121011610","121",1
"01/02/2020","13121011614","121",1
"01/02/2020","13121011625","121",1
"01/03/2020","13121000500","121",1
"01/03/2020","13121001001","121",1
"01/03/2020","13121001900","121",1
"01/03/2020","13121002400","121",3
"01/03/2020","13121002500","121",1
"01/03/2020","13121004100","121",1
"01/03/2020","13121006300","121",1
"01/03/2020","13121006700","121",1
"01/03/2020","13121007001","121",2
"01/03/2020","13121007400","121",4
"01/03/2020","13121007602","121",1
"01/03/2020","13121007703","121",1
"01/03/2020","13121007806","121",1
"01/03/2020","13121008000","121",1
"01/03/2020","13121008500","121",1
"01/03/2020","13121008601","121",1
"01/03/2020","13121009402","121",1
"01/03/2020","13121010110","121",1
"01/03/2020","13121010114","121",1
"01/03/2020","13121010301","121",1
"01/03/2020","13121010304","121",1
"01/03/2020","13121010508","121",1
"01/03/2020","13121010510","121",2
"01/03/2020","13121010511","121",1
"01/03/2020","13121010512","121",2
"01/03/2020","13121010513","121",1
"01/03/2020","13121010514","121",1
"01/03/2020","13121010601","121",1
"01/03/2020","13121011202","121",1
"01/03/2020","13121011303","121",2
"01/03/2020","13121011306","121",1
"01/03/2020","13121012000","121",1
"01/06/2020","13121000100","121",1
"01/06/2020","13121001100","121",2
"01/06/2020","13121002400","121",2
"01/06/2020","13121002800","121",1
"01/06/2020","13121002900","121",2
"01/06/2020","13121003900","121",1
"01/06/2020","13121004000","121",3
"01/06/2020","13121004400","121",1
"01/06/2020","13121004900","121",1
"01/06/2020","13121006100","121",1
"01/06/2020","13121006700","121",1
"01/06/2020","13121007002","121",2
"01/06/2020","13121007400","121",1
"01/06/2020","13121007604","121",1
"01/06/2020","13121007706","121",1
"01/06/2020","13121007802","121",1
"01/06/2020","13121007805","121",2
"01/06/2020","13121007806","121",1
"01/06/2020","13121007807","121",1
"01/06/2020","13121008102","121",4
"01/06/2020","13121008201","121",2
"01/06/2020","13121008301","121",2
"01/06/2020","13121008302","121",2
"01/06/2020","13121008601","121",6
"01/06/2020","13121008902","121",1
"01/06/2020","13121009200","121",2
"01/06/2020","13121009402","121",1
"01/06/2020","13121010304","121",1
"01/06/2020","13121010507","121",3
"01/06/2020","13121010510","121",1
"01/06/2020","13121010513","121",1
"01/06/2020","13121010514","121",1
"01/06/2020","13121010515","121",1
"01/06/2020","13121010516","121",1
"01/06/2020","13121011201","121",1
"01/06/2020","13121011202","121",1
"01/06/2020","13121011303","121",1
"01/06/2020","13121011305","121",2
"01/06/2020","13121011306","121",18
"01/06/2020","13121011611","121",1
"01/06/2020","13121011614","121",1
"01/07/2020","13121000600","121",1
"01/07/2020","13121001001","121",1
"01/07/2020","13121001100","121",3
"01/07/2020","13121001500","121",1
"01/07/2020","13121002100","121",17
"01/07/2020","13121002400","121",1
"01/07/2020","13121002800","121",2
"01/07/2020","13121003900","121",1
"01/07/2020","13121004100","121",2
"01/07/2020","13121006100","121",1
"01/07/2020","13121006700","121",1
"01/07/2020","13121006900","121",1
"01/07/2020","13121007001","121",1
"01/07/2020","13121007200","121",1
"01/07/2020","13121007300","121",1
"01/07/2020","13121007703","121",1
"01/07/2020","13121007802","121",1
"01/07/2020","13121007806","121",2
"01/07/2020","13121008400","121",1
"01/07/2020","13121008500","121",1
"01/07/2020","13121008601","121",3
"01/07/2020","13121009101","121",2
"01/07/2020","13121009102","121",6
"01/07/2020","13121009200","121",1
"01/07/2020","13121009300","121",3
"01/07/2020","13121009404","121",5
"01/07/2020","13121009601","121",1
"01/07/2020","13121009603","121",1
"01/07/2020","13121009900","121",2
"01/07/2020","13121010117","121",1
"01/07/2020","13121010119","121",21
"01/07/2020","13121010123","121",1
"01/07/2020","13121010211","121",2
"01/07/2020","13121010507","121",1
"01/07/2020","13121010510","121",1
"01/07/2020","13121010511","121",32
"01/07/2020","13121010512","121",3
"01/07/2020","13121010513","121",2
"01/07/2020","13121010516","121",1
"01/07/2020","13121010601","121",4
"01/07/2020","13121010603","121",1
"01/07/2020","13121010800","121",1
"01/07/2020","13121011202","121",2
"01/07/2020","13121011301","121",1
"01/07/2020","13121011303","121",2
"01/07/2020","13121011305","121",3
"01/07/2020","13121011424","121",1
"01/07/2020","13121011427","121",1
"01/08/2020","13121000500","121",5
"01/08/2020","13121000600","121",1
"01/08/2020","13121001201","121",2
"01/08/2020","13121001202","121",1
"01/08/2020","13121001700","121",2
"01/08/2020","13121002600","121",3
"01/08/2020","13121002800","121",7
"01/08/2020","13121006200","121",2
"01/08/2020","13121007500","121",3
"01/08/2020","13121007705","121",1
"01/08/2020","13121008000","121",1
"01/08/2020","13121008102","121",1
"01/08/2020","13121008201","121",1
"01/08/2020","13121008400","121",1
"01/08/2020","13121009000","121",1
"01/08/2020","13121009101","121",3
"01/08/2020","13121009502","121",1
"01/08/2020","13121009601","121",1
"01/08/2020","13121009602","121",1
"01/08/2020","13121009603","121",6
"01/08/2020","13121010002","121",8
"01/08/2020","13121010114","121",2
"01/08/2020","13121010118","121",1
"01/08/2020","13121010119","121",2
"01/08/2020","13121010209","121",4
"01/08/2020","13121010212","121",1
"01/08/2020","13121010301","121",1
"01/08/2020","13121010508","121",1
"01/08/2020","13121010510","121",3
"01/08/2020","13121010512","121",4
"01/08/2020","13121011305","121",1
"01/08/2020","13121011306","121",3
"01/08/2020","13121011425","121",4
"01/08/2020","13121011800","121",2
"01/08/2020","13121012000","121",1
"01/08/2020","13121012300","121",3
"01/09/2020","13121001100","121",2
"01/09/2020","13121001700","121",1
"01/09/2020","13121002400","121",9
"01/09/2020","13121003500","121",3
"01/09/2020","13121004000","121",1
"01/09/2020","13121004400","121",1
"01/09/2020","13121005200","121",1
"01/09/2020","13121005502","121",2
"01/09/2020","13121006000","121",2
"01/09/2020","13121006100","121",1
"01/09/2020","13121006601","121",1
"01/09/2020","13121006700","121",1
"01/09/2020","13121007001","121",1
"01/09/2020","13121007100","121",2
"01/09/2020","13121007300","121",2
"01/09/2020","13121007703","121",1
"01/09/2020","13121007706","121",5
"01/09/2020","13121007806","121",1
"01/09/2020","13121008000","121",2
"01/09/2020","13121008102","121",1
"01/09/2020","13121008201","121",1
"01/09/2020","13121008301","121",1
"01/09/2020","13121008400","121",1
"01/09/2020","13121008500","121",2
"01/09/2020","13121008601","121",5
"01/09/2020","13121008700","121",2
"01/09/2020","13121008800","121",1
"01/09/2020","13121008902","121",4
"01/09/2020","13121009200","121",1
"01/09/2020","13121009402","121",5
"01/09/2020","13121009502","121",2
"01/09/2020","13121010114","121",1
"01/09/2020","13121010122","121",1
"01/09/2020","13121010211","121",2
"01/09/2020","13121010301","121",1
"01/09/2020","13121010304","121",1
"01/09/2020","13121010507","121",5
"01/09/2020","13121010508","121",1
"01/09/2020","13121010510","121",2
"01/09/2020","13121010513","121",4
"01/09/2020","13121010514","121",2
"01/09/2020","13121010516","121",1
"01/09/2020","13121011000","121",1
"01/09/2020","13121011202","121",1
"01/09/2020","13121011506","121",1
"01/09/2020","13121011614","121",5
"01/09/2020","13121011900","121",1
"01/10/2020","13121000600","121",3
"01/10/2020","13121001100","121",1
"01/10/2020","13121001400","121",1
"01/10/2020","13121001700","121",1
"01/10/2020","13121002300","121",2
"01/10/2020","13121003000","121",1
"01/10/2020","13121003200","121",1
"01/10/2020","13121003900","121",1
"01/10/2020","13121004100","121",3
"01/10/2020","13121004900","121",1
"01/10/2020","13121006300","121",1
"01/10/2020","13121007001","121",1
"01/10/2020","13121007100","121",2
"01/10/2020","13121007400","121",1
"01/10/2020","13121007604","121",7
"01/10/2020","13121007704","121",1
"01/10/2020","13121007706","121",11
"01/10/2020","13121007802","121",31
"01/10/2020","13121007808","121",1
"01/10/2020","13121008000","121",1
"01/10/2020","13121008202","121",1
"01/10/2020","13121008301","121",1
"01/10/2020","13121008500","121",2
"01/10/2020","13121008602","121",6
"01/10/2020","13121008902","121",4
"01/10/2020","13121008903","121",15
"01/10/2020","13121009000","121",4
"01/10/2020","13121009300","121",1
"01/10/2020","13121009404","121",1
"01/10/2020","13121009501","121",1
"01/10/2020","13121010108","121",2
"01/10/2020","13121010110","121",6
"01/10/2020","13121010114","121",2
"01/10/2020","13121010205","121",1
"01/10/2020","13121010304","121",2
"01/10/2020","13121010507","121",2
"01/10/2020","13121010508","121",1
"01/10/2020","13121010510","121",2
"01/10/2020","13121010511","121",4
"01/10/2020","13121010512","121",4
"01/10/2020","13121010513","121",2
"01/10/2020","13121010516","121",1
"01/10/2020","13121010603","121",1
"01/10/2020","13121010604","121",3
"01/10/2020","13121010800","121",7
"01/10/2020","13121011201","121",1
"01/10/2020","13121011303","121",2
"01/10/2020","13121011305","121",1
"01/10/2020","13121011306","121",14
"01/10/2020","13121011412","121",1
"01/10/2020","13121011623","121",1
"01/10/2020","13121011625","121",1
"01/10/2020","13121011626","121",2
"01/10/2020","13121011900","121",9
"01/13/2020","13121000100","121",5
"01/13/2020","13121000500","121",18
"01/13/2020","13121000600","121",7
"01/13/2020","13121001001","121",13
"01/13/2020","13121001100","121",10
"01/13/2020","13121001201","121",1
"01/13/2020","13121001400","121",1
"01/13/2020","13121001600","121",1
"01/13/2020","13121001700","121",2
"01/13/2020","13121001800","121",15
"01/13/2020","13121001900","121",5
"01/13/2020","13121002800","121",19
"01/13/2020","13121002900","121",2
"01/13/2020","13121003000","121",1
"01/13/2020","13121003600","121",12
"01/13/2020","13121003800","121",2
"01/13/2020","13121004000","121",1
"01/13/2020","13121004400","121",18
"01/13/2020","13121004800","121",8
"01/13/2020","13121004900","121",7
"01/13/2020","13121005000","121",5
"01/13/2020","13121005200","121",2
"01/13/2020","13121005502","121",52
"01/13/2020","13121005800","121",3
"01/13/2020","13121006000","121",2
"01/13/2020","13121006602","121",7
"01/13/2020","13121006700","121",2
"01/13/2020","13121006802","121",1
"01/13/2020","13121006900","121",1
"01/13/2020","13121007002","121",1
"01/13/2020","13121007200","121",2
"01/13/2020","13121007300","121",8
"01/13/2020","13121007400","121",2
"01/13/2020","13121007603","121",7
"01/13/2020","13121007704","121",1
"01/13/2020","13121007705","121",2
"01/13/2020","13121007706","121",32
"01/13/2020","13121007802","121",16
"01/13/2020","13121007805","121",15
"01/13/2020","13121007806","121",11
"01/13/2020","13121007807","121",3
"01/13/2020","13121007900","121",1
"01/13/2020","13121008000","121",2
"01/13/2020","13121008102","121",18
"01/13/2020","13121008201","121",2
"01/13/2020","13121008202","121",1
"01/13/2020","13121008301","121",2
"01/13/2020","13121008302","121",1
"01/13/2020","13121008400","121",3
"01/13/2020","13121008500","121",1
"01/13/2020","13121008601","121",1
"01/13/2020","13121008602","121",1
"01/13/2020","13121008700","121",21
"01/13/2020","13121008902","121",35
"01/13/2020","13121008903","121",3
"01/13/2020","13121008904","121",11
"01/13/2020","13121009000","121",7
"01/13/2020","13121009101","121",7
"01/13/2020","13121009102","121",5
"01/13/2020","13121009200","121",23
"01/13/2020","13121009402","121",38
"01/13/2020","13121009403","121",17
"01/13/2020","13121009404","121",3
"01/13/2020","13121009501","121",6
"01/13/2020","13121009502","121",8
"01/13/2020","13121009601","121",7
"01/13/2020","13121009602","121",6
"01/13/2020","13121009603","121",8
"01/13/2020","13121009700","121",10
"01/13/2020","13121009801","121",10
"01/13/2020","13121010001","121",4
"01/13/2020","13121010002","121",16
"01/13/2020","13121010106","121",29
"01/13/2020","13121010110","121",11
"01/13/2020","13121010113","121",22
"01/13/2020","13121010114","121",3
"01/13/2020","13121010115","121",2
"01/13/2020","13121010117","121",22
"01/13/2020","13121010118","121",6
"01/13/2020","13121010119","121",20
"01/13/2020","13121010120","121",12
"01/13/2020","13121010122","121",11
"01/13/2020","13121010123","121",5
"01/13/2020","13121010205","121",8
"01/13/2020","13121010209","121",1
"01/13/2020","13121010210","121",11
"01/13/2020","13121010212","121",5
"01/13/2020","13121010301","121",17
"01/13/2020","13121010303","121",22
"01/13/2020","13121010304","121",2
"01/13/2020","13121010507","121",14
"01/13/2020","13121010510","121",28
"01/13/2020","13121010512","121",14
"01/13/2020","13121010513","121",16
"01/13/2020","13121010514","121",17
"01/13/2020","13121010515","121",1
"01/13/2020","13121010516","121",1
"01/13/2020","13121010601","121",3
"01/13/2020","13121010603","121",4
"01/13/2020","13121010800","121",10
"01/13/2020","13121011201","121",11
"01/13/2020","13121011202","121",2
"01/13/2020","13121011301","121",2
"01/13/2020","13121011303","121",11
"01/13/2020","13121011305","121",30
"01/13/2020","13121011306","121",15
"01/13/2020","13121011405","121",15
"01/13/2020","13121011410","121",18
"01/13/2020","13121011411","121",22
"01/13/2020","13121011412","121",4
"01/13/2020","13121011414","121",13
"01/13/2020","13121011421","121",16
"01/13/2020","13121011423","121",2
"01/13/2020","13121011424","121",1
"01/13/2020","13121011611","121",9
"01/13/2020","13121011614","121",2
"01/13/2020","13121011616","121",21
"01/13/2020","13121011617","121",3
"01/13/2020","13121011618","121",4
"01/13/2020","13121011619","121",3
"01/13/2020","13121011620","121",1
"01/13/2020","13121011622","121",1
"01/13/2020","13121011623","121",3
"01/13/2020","13121011800","121",30
"01/13/2020","13121011900","121",5
"01/13/2020","13121012000","121",3
"01/13/2020","13121012300","121",1
"01/14/2020","13121000100","121",1
"01/14/2020","13121001001","121",1
"01/14/2020","13121001100","121",7
"01/14/2020","13121001201","121",1
"01/14/2020","13121001202","121",3
"01/14/2020","13121001500","121",1
"01/14/2020","13121001700","121",1
"01/14/2020","13121001900","121",7
"01/14/2020","13121002100","121",13
"01/14/2020","13121002300","121",2
"01/14/2020","13121002400","121",1
"01/14/2020","13121002500","121",2
"01/14/2020","13121002800","121",1
"01/14/2020","13121003200","121",2
"01/14/2020","13121004400","121",1
"01/14/2020","13121006300","121",1
"01/14/2020","13121006500","121",1
"01/14/2020","13121007100","121",1
"01/14/2020","13121007300","121",2
"01/14/2020","13121007400","121",9
"01/14/2020","13121007500","121",1
"01/14/2020","13121007603","121",4
"01/14/2020","13121007604","121",1
"01/14/2020","13121007705","121",1
"01/14/2020","13121007706","121",3
"01/14/2020","13121007802","121",4
"01/14/2020","13121007805","121",15
"01/14/2020","13121007806","121",6
"01/14/2020","13121007808","121",10
"01/14/2020","13121008000","121",1
"01/14/2020","13121008102","121",9
"01/14/2020","13121008201","121",1
"01/14/2020","13121008602","121",3
"01/14/2020","13121008700","121",4
"01/14/2020","13121008902","121",21
